Taille_cm,Pointure,Poids_kg,Genre
150,36,51,F
155,35,38,F
158,37,57,F
160,36,46,F
160,38,47,F
160,38,47,F
160,38,48,F
160,38,50,F
160,38,53,F
160,38,68,F
162,38,50,F
162,36,51,F
163,37,50,F
163,41,58,F
163,40,59,F
164,41,55,F
164,41,67,F
165,39,47,F
165,38,61,H
165,37,68,F
167,37,49,F
167,39,51,F
167,37,63,F
168,37,55,F
168,38,65,F
169,39,62,F
170,41,49,F
170,38,50,F
170,38,50,F
171,39,56,F
171,40,63,F
172,39,53,F
172,39,63,F
172,40,67,F
173,41,55,F
174,41,72,H
175,38,50,F
176,41,53,H
176,39,68,F
176,42,78,H
178,39,60,F
180,40,53,F
180,41,78,F
180,43,88,H
